species,IUCN,proba
Oplegnathus-fasciatus,Thr,82.5
Oplegnathus-insignis,NaN,77.5
Oplegnathus-punctatus,NaN,74.5
Oplegnathus-robinsoni,Thr,96.5
Oplopomops-diacanthus,NThr,100.0
Oplopomus-caninoides,NThr,100.0
Oplopomus-oplopomus,NThr,100.0
Optivus-agastos,NaN,64.5
Optivus-elongatus,Thr,96.5
Opua-nephodes,NaN,64.0
Orthopristis-forbesi,Thr,84.5
Ostichthys-acanthorhinus,NThr,100.0
Ostracion-cubicus,NThr,100.0
Ostracion-meleagris,NThr,100.0
Ostracion-rhinorhynchos,NThr,99.5
Ostracion-solorensis,NThr,99.5
Ostracion-trachys,Thr,97.5
Ostracion-whitleyi,NThr,85.5
Othos-dentex,Thr,95.0
Oxycheilinus-nigromarginatus,NThr,92.0
Oxymetopon-typus,NThr,97.5
Paracheilinus-carpenteri,NThr,100.0
Paralichthys-tropicus,NaN,75.0
Paramonacanthus-nipponensis,NaN,72.5
Parapercis-clathrata,NThr,100.0
Parapercis-cylindrica,NThr,92.5
Parapercis-haackei,NThr,99.0
Parapercis-hexophtalma,NThr,100.0
Parapercis-lineopunctata,NThr,100.0
Parapercis-maculata,NThr,99.5
Parapercis-maritzi,NaN,51.0
Parapercis-millepunctata,NThr,99.5
Parapercis-multiplicata,NThr,96.0
Parapercis-schauinslandii,NThr,100.0
Parapercis-snyderi,NThr,100.0
Parapercis-tetracantha,NThr,100.0
Paraplesiops-alisonae,NaN,62.5
Paraplesiops-bleekeri,NaN,61.5
Paraplesiops-meleagris,NaN,55.0
Paraplesiops-poweri,NThr,87.5
Paraplotosus-albilabris,NaN,58.0
Paraplotosus-butleri,NaN,55.5
Parapriacanthus-marei,NaN,58.0
Parapriacanthus-ransonneti,NThr,100.0
Pardachirus-marmoratus,NThr,95.0
Pareques-perissa,Thr,100.0
Parma-alboscapularis,NThr,82.5
Parma-mccullochi,NThr,90.5
Parma-microlepis,NThr,88.0
Parma-occidentalis,NaN,50.5
Parma-oligolepis,NThr,86.0
Parma-polylepis,NThr,99.5
Parma-unifasciata,NaN,56.0
Parupeneus-forsskali,NThr,100.0
Parupeneus-margaritatus,NaN,71.5
Parupeneus-rubescens,NThr,100.0
Parupeneus-trifasciatus,NThr,99.0
Pempheris-adusta,NThr,100.0
Pempheris-analis,NaN,79.0
Pempheris-compressa,NaN,51.0
Pempheris-oualensis,NThr,100.0
Pempheris-rapa,Thr,97.0
Pempheris-schwenkii,NThr,100.0
Pempheris-vanicolensis,NThr,100.0
Pentaceropsis-recurvirostris,Thr,86.0
Pentapodus-bifasciatus,NThr,93.0
Pentapodus-paradiseus,NThr,94.5
Pentapodus-porosus,NThr,94.5
Pentapodus-setosus,NThr,100.0
Phaenomonas-cooperae,Thr,80.5
Pholidichthys-leucotaenia,NThr,100.0
Photoblepharon-palpebratum,NThr,100.0
Phyllophichthus-xenodontus,NThr,99.5
Pictichromis-coralensis,NThr,94.5
Pisodonophis-cancrivorus,NaN,51.5
Platax-batavianus,NThr,89.5
Platax-boersii,NThr,95.0
Platax-pinnatus,NThr,99.5
Platycephalus-indicus,NaN,79.0
Plectorhinchus-albovittatus,NThr,96.5
Plectorhinchus-chaetodonoides,NThr,100.0
Plectorhinchus-chrysotaenia,NThr,95.0
Plectorhinchus-flavomaculatus,NThr,99.0
Plectorhinchus-lessonii,NThr,100.0
Plectorhinchus-lineatus,NThr,99.5
Plectorhinchus-picus,NThr,99.0
Plectorhinchus-schotaf,NThr,98.0
Plectranthias-wheeleri,NThr,99.0
Plectroglyphidodon-dickii,NThr,100.0
Plectroglyphidodon-imparipennis,NThr,100.0
Plectroglyphidodon-johnstonianus,NThr,100.0
Plectroglyphidodon-lacrymatus,NThr,100.0
Plectroglyphidodon-leucozonus,NThr,98.5
Plectroglyphidodon-phoenixensis,NThr,99.0
Plectroglyphidodon-randalli,Thr,98.5
Plectroglyphidodon-sindonis,Thr,91.5
Plesiops-auritus,NThr,94.5
Plesiops-cephalotaenia,NThr,100.0
Plesiops-coeruleolineatus,NThr,100.0
Plesiops-corallicola,NThr,97.0
Plesiops-gracilis,NThr,91.0
Plesiops-insularis,NThr,87.0
Plesiops-oxycephalus,NThr,100.0
Plesiops-polydactylus,NThr,95.0
Plesiops-thysanopterus,Thr,80.5
Plesiops-verecundus,NThr,100.0
Pleurosicya-boldinghi,NThr,100.0
Pleurosicya-carolinensis,NaN,78.0
Pleurosicya-elongata,NThr,100.0
Plotosus-lineatus,NThr,100.0
Polydactylus-sexfilis,NaN,77.0
Polylepion-cruentum,NThr,84.5
Polysteganus-coeruleopunctatus,NaN,52.5
Pomacentrus-adelus,NThr,100.0
Pomacentrus-albicaudatus,NaN,57.0
Pomacentrus-alexanderae,NThr,99.0
Pomacentrus-alleni,NThr,85.0
Pomacentrus-amboinensis,NThr,97.5
Pomacentrus-aquilus,NThr,94.5
Pomacentrus-arabicus,Thr,86.0
Pomacentrus-australis,NaN,55.0
Pomacentrus-azuremaculatus,NThr,94.0
Pomacentrus-baenschi,NaN,69.0
Pomacentrus-bankanensis,NThr,100.0
Pomacentrus-brachialis,NThr,100.0
Pomacentrus-burroughi,NThr,98.0
Pomacentrus-caeruleopunctatus,NaN,52.0
Pomacentrus-caeruleus,NThr,100.0
Pomacentrus-chrysurus,NThr,89.0
Pomacentrus-coelestis,NThr,100.0
Pomacentrus-emarginatus,NaN,72.0
Pomacentrus-grammorhynchus,NThr,93.0
Pomacentrus-imitator,NThr,97.5
Pomacentrus-indicus,NaN,68.0
Pomacentrus-lepidogenys,NThr,96.5
Pomacentrus-leptus,NaN,76.5
Pomacentrus-littoralis,NThr,98.5
Pomacentrus-melanochir,NThr,99.5
Pomacentrus-moluccensis,NThr,100.0
Pomacentrus-nagasakiensis,NThr,100.0
Pomacentrus-nigromanus,NThr,98.0
Pomacentrus-nigromarginatus,NThr,99.5
Pomacentrus-pavo,NThr,98.0
Pomacentrus-philippinus,NThr,100.0
Pomacentrus-pikei,NaN,72.5
Pomacentrus-reidi,NThr,96.5
Pomacentrus-rodriguesensis,Thr,95.5
Pomacentrus-similis,NThr,82.0
Pomacentrus-simsiang,NThr,100.0
Pomacentrus-stigma,NaN,58.5
Pomacentrus-sulfureus,NaN,78.0
Pomacentrus-taeniometopon,NThr,97.0
Pomacentrus-trilineatus,NThr,99.5
Pomacentrus-tripunctatus,NThr,93.5
Pomacentrus-vaiuli,NThr,100.0
Pomachromis-fuscidorsalis,NThr,83.0
Pomachromis-guamensis,NaN,71.0
Pomachromis-richardsoni,NThr,100.0
Pomadasys-kaakan,NThr,97.5
Poroderma-pantherinum,Thr,92.5
Premnas-biaculeatus,NThr,99.5
Priolepis-agrena,NaN,70.0
Priolepis-ailina,NThr,98.0
Priolepis-aureoviridis,NThr,92.0
Priolepis-boreus,NThr,87.0
Priolepis-cincta,NThr,100.0
Priolepis-eugenius,NThr,100.0
Priolepis-fallacincta,NThr,100.0
